CAL,CNC,GR,HRD,HRM,PE,ZDEN,DTC,DTS
8.7442,-999,32.7116,-999,-999,-999,-999,132.3254,341
8.7583,-999,34.1201,-999,-999,-999,-999,132.6197,344.6035
8.7452,-999,37.1183,-999,-999,-999,-999,132.381,346.3959
8.7513,-999,35.855,-999,-999,-999,-999,131.6162,344.9669
8.7494,-999,34.703,-999,-999,-999,-999,130.5543,340.3466
8.7483,-999,34.9373,-999,-999,-999,-999,129.5335,333.904
8.7593,-999,35.1361,-999,-999,-999,-999,128.8375,327.6918
8.7552,-999,36.1929,-999,-999,-999,-999,128.525,323.4437
8.7593,-999,35.8913,-999,-999,-999,-999,128.587,321.5275
8.7634,-999,33.1849,-999,-999,-999,-999,128.9913,321.8947
8.7705,-999,34.2152,-999,-999,-999,-999,129.6107,324.3515
8.7513,-999,36.6172,-999,-999,-999,-999,130.0779,328.1307
8.7534,-999,35.1749,-999,-999,-999,-999,130.1844,330.9874
8.7563,-999,35.3492,-999,-999,-999,-999,130.3134,331.6328
8.7471,-999,36.3447,-999,-999,-999,-999,130.5304,332.4142
8.7442,-999,36.639,-999,-999,-999,-999,130.4664,333.7404
8.7513,-999,34.8147,-999,-999,-999,-999,129.8103,333.3627
8.7583,-999,35.2703,-999,-999,-999,-999,128.4752,329.386
8.7492,-999,33.6757,-999,-999,-999,-999,126.9655,321.2637
8.7573,-999,33.13,-999,-999,-999,-999,125.9732,312.0253
8.7593,-999,37.7244,-999,-999,-999,-999,126.0692,305.9078
8.7552,-999,36.0789,-999,-999,-999,-999,127.3499,306.4556
8.7462,-999,35.142,-999,-999,-999,-999,129.3781,314.2662
8.7544,-999,37.1456,-999,-999,-999,-999,131.3576,326.6465
8.7513,-999,37.6982,-999,-999,-999,-999,132.5982,338.7051
8.7593,-999,36.6768,-999,-999,-999,-999,132.5239,346.2567
8.7554,-999,34.4213,-999,-999,-999,-999,130.9741,345.843
8.7484,-999,32.9957,-999,-999,-999,-999,128.6861,336.4784
8.7523,-999,34.341,-999,-999,-999,-999,126.3801,322.5644
8.7502,-999,32.7075,-999,-999,-999,-999,124.6427,308.4355
8.7612,-999,29.3016,-999,-999,-999,-999,124.1676,297.7218
8.7624,-999,27.9689,-999,-999,-999,-999,125.059,294.7639
8.7432,-999,30.328,-999,-999,-999,-999,126.3027,300.2397
8.7432,-999,33.7148,-999,-999,-999,-999,126.9904,307.9059
8.7484,-999,33.9392,-999,-999,-999,-999,127.2018,312.1414
8.7473,-999,33.8331,-999,-999,-999,-999,127.7467,313.4221
8.7361,-999,36.8398,-999,-999,-999,-999,128.8884,316.727
8.7463,-999,37.373,-999,-999,-999,-999,130.0336,323.6934
8.7523,-999,37.0634,-999,-999,-999,-999,130.6199,330.6851
8.7502,-999,39.7809,-999,-999,-999,-999,130.0229,334.2863
8.7411,-999,38.3214,-999,-999,-999,-999,129.1223,330.672
8.7593,-999,35.5799,-999,-999,-999,-999,128.399,325.189
8.7562,-999,35.2684,-999,-999,-999,-999,127.9225,320.7711
8.7552,-999,33.4671,-999,-999,-999,-999,127.6467,317.8561
8.7513,-999,36.3167,-999,-999,-999,-999,127.6307,316.1649
8.7513,-999,37.2278,-999,-999,-999,-999,127.8455,316.0609
8.7431,-999,33.0906,-999,-999,-999,-999,128.1197,317.3723
8.7483,-999,33.7293,-999,-999,-999,-999,128.1293,319.0559
8.7413,-999,35.4872,-999,-999,-999,-999,127.6887,319.1266
8.7494,-999,36.9381,-999,-999,-999,-999,126.95,316.4401
8.7392,-999,36.6242,-999,-999,-999,-999,126.5283,311.9081
8.7461,-999,34.9785,-999,-999,-999,-999,127.1318,309.2976
8.7341,-999,32.8131,-999,-999,-999,-999,128.5777,312.9639
8.7353,-999,32.4273,-999,-999,-999,-999,129.804,321.7897
8.7524,-999,32.5696,-999,-999,-999,-999,129.9711,329.3017
8.7392,-999,32.2819,-999,-999,-999,-999,129.0924,330.3599
8.7593,-999,32.617,-999,-999,-999,-999,127.5868,325.0142
8.7482,-999,33.9658,-999,-999,-999,-999,126.0402,315.8153
8.7544,-999,37.0837,-999,-999,-999,-999,124.8885,306.3448
8.7483,-999,36.7017,-999,-999,-999,-999,124.2129,299.2606
8.7533,-999,36.2925,-999,-999,-999,-999,123.8624,295.0922
8.7583,-999,37.2689,-999,-999,-999,-999,123.5969,292.9296
8.7483,-999,36.966,-999,-999,-999,-999,123.3388,291.2932
8.7513,-999,36.2739,-999,-999,-999,-999,123.2093,289.6931
8.7573,-999,35.7403,-999,-999,-999,-999,123.2377,288.8859
8.7583,-999,34.8126,-999,-999,-999,-999,123.6115,289.0498
8.7564,-999,32.3477,-999,-999,-999,-999,124.6977,291.3307
8.7229,-999,31.565,-999,-999,-999,-999,126.4631,297.9936
8.7452,-999,34.0768,-999,-999,-999,-999,128.1317,308.84
8.7533,-999,33.2698,-999,-999,-999,-999,128.7242,319.1023
8.7564,-999,33.2788,-999,-999,-999,-999,128.5324,322.7542
8.7533,-999,33.9499,-999,-999,-999,-999,128.3416,321.5845
8.7543,-999,35.159,-999,-999,-999,-999,128.4432,320.4092
8.7523,-999,35.9844,-999,-999,-999,-999,128.6738,321.0248
8.7523,-999,33.2433,-999,-999,-999,-999,128.7257,322.4371
8.7351,-999,33.565,-999,-999,-999,-999,128.4676,322.7625
8.7564,-999,36.0156,-999,-999,-999,-999,128.0037,321.1927
8.7512,-999,34.2983,-999,-999,-999,-999,127.6311,318.3572
8.7542,-999,32.279,-999,-999,-999,-999,127.7428,316.0659
8.7583,-999,34.6312,-999,-999,-999,-999,128.4901,316.7253
8.7543,-999,38.3365,-999,-999,-999,-999,129.4255,321.2769
8.7573,-999,38.6721,-999,-999,-999,-999,130.0035,326.9964
8.7523,-999,37.8636,-999,-999,-999,-999,130.0461,330.5356
8.7524,-999,37.395,-999,-999,-999,-999,129.5928,330.8054
8.7534,-999,38.3983,-999,-999,-999,-999,128.8408,328.0522
8.7503,-999,38.192,-999,-999,-999,-999,128.1762,323.4721
8.7554,-999,37.3133,-999,-999,-999,-999,127.8283,319.4094
8.743,-999,37.3987,-999,-999,-999,-999,127.6335,317.2808
8.7381,-999,36.5174,-999,-999,-999,-999,127.3128,316.0934
8.7492,-999,34.7581,-999,-999,-999,-999,126.9301,314.1332
8.7543,-999,33.3806,-999,-999,-999,-999,127.0219,311.774
8.7523,-999,34.4468,-999,-999,-999,-999,128.1346,312.3018
8.7401,-999,35.581,-999,-999,-999,-999,129.9017,319.0837
8.7593,-999,34.4621,-999,-999,-999,-999,131.1303,329.8757
8.7583,-999,34.6815,-999,-999,-999,-999,131.2366,337.3704
8.7583,-999,37.2384,-999,-999,-999,-999,130.9198,338.0322
8.7411,-999,38.5596,-999,-999,-999,-999,130.6866,336.1115
8.7492,-999,36.5538,-999,-999,-999,-999,130.6827,334.6891
8.7583,-999,36.2454,-999,-999,-999,-999,130.6063,334.6647
8.7411,-999,39.5747,-999,-999,-999,-999,130.4956,334.2028
8.7583,-999,39.991,-999,-999,-999,-999,130.7154,333.5208
8.7481,-999,35.1999,-999,-999,-999,-999,131.2134,334.8488
8.7502,-999,33.9038,-999,-999,-999,-999,131.5605,337.8756
8.7513,-999,36.4659,-999,-999,-999,-999,131.4297,339.9896
8.7574,-999,38.0069,-999,-999,-999,-999,130.8121,339.2103
8.7471,-999,32.6527,-999,-999,-999,-999,130.02,335.469
8.7583,-999,32.5474,-999,-999,-999,-999,129.5263,330.6492
8.7583,-999,36.8207,-999,-999,-999,-999,129.7157,327.6295
8.7552,-999,34.9451,-999,-999,-999,-999,130.3983,328.7641
8.7462,-999,35.3483,-999,-999,-999,-999,131.0326,332.9179
8.7573,-999,36.4563,-999,-999,-999,-999,131.3115,336.7814
8.7442,-999,35.6982,-999,-999,-999,-999,131.2096,338.4805
8.7523,-999,32.326,-999,-999,-999,-999,130.8622,337.8702
8.7534,-999,32.3985,-999,-999,-999,-999,130.5005,335.7654
8.7506,-999,35.3329,-999,-999,-999,-999,130.2892,333.5652
8.7503,-999,34.5012,-999,-999,-999,-999,130.1552,332.2756
8.7533,-999,31.2333,-999,-999,-999,-999,130.132,331.4597
8.7533,-999,31.4045,-999,-999,-999,-999,130.2755,331.314
8.7352,-999,30.7408,-999,-999,-999,-999,130.6768,332.1797
8.7292,-999,31.4976,-999,-999,-999,-999,131.0376,334.6201
8.719,-999,36.524,-999,-999,-999,-999,131.1326,336.8144
8.7343,-999,37.5454,-999,-999,-999,-999,131.1147,337.3938
8.7282,-999,36.2602,-999,-999,-999,-999,131.149,337.2838
8.7273,-999,33.245,-999,-999,-999,-999,131.1638,337.4915
8.7142,-999,33.6163,-999,-999,-999,-999,130.9184,337.5886
8.7111,-999,35.9456,-999,-999,-999,-999,130.3429,336.1085
8.7343,-999,36.528,-999,-999,-999,-999,129.6884,332.6146
8.7252,-999,35.5642,-999,-999,-999,-999,129.3187,328.6278
8.7292,-999,33.9873,-999,-999,-999,-999,129.2793,326.3693
8.7282,-999,33.8375,-999,-999,-999,-999,129.5179,326.123
8.7334,-999,34.6677,-999,-999,-999,-999,130.0683,327.5642
8.7314,-999,35.5006,-999,-999,-999,-999,130.7775,330.903
8.7302,-999,35.499,-999,-999,-999,-999,131.4363,335.2134
8.7262,-999,34.2991,-999,-999,-999,-999,131.9842,339.2189
8.7343,-999,32.5014,-999,-999,-999,-999,132.3202,342.541
8.7262,-999,32.4785,-999,-999,-999,-999,132.2081,344.5867
8.7393,-999,33.3649,-999,-999,-999,-999,131.6033,343.9177
8.7354,-999,36.2764,-999,-999,-999,-999,130.9412,340.254
8.7284,-999,34.4651,-999,-999,-999,-999,130.6494,336.2374
8.7273,-999,31.4033,-999,-999,-999,-999,130.5167,334.4639
8.7312,-999,33.2576,-999,-999,-999,-999,130.1421,333.6655
8.7191,-999,36.0127,-999,-999,-999,-999,129.614,331.3917
8.7181,-999,34.1393,-999,-999,-999,-999,129.2413,328.1732
8.7292,-999,32.1672,-999,-999,-999,-999,129.065,325.9031
8.7283,-999,31.6308,-999,-999,-999,-999,128.8887,324.8294
8.719,-999,27.4516,-999,-999,-999,-999,128.365,323.761
8.724,-999,28.1953,-999,-999,-999,-999,127.2834,320.575
8.7383,-999,32.0403,-999,-999,-999,-999,126.0885,313.9663
8.7303,-999,30.6119,-999,-999,-999,-999,125.4784,306.6326
8.7303,-999,28.7888,-999,-999,-999,-999,125.5941,302.8685
8.7352,-999,29.7859,-999,-999,-999,-999,126.2524,303.5623
8.7353,-999,30.0386,-999,-999,-999,-999,127.0786,307.6004
8.7232,-999,31.7762,-999,-999,-999,-999,127.7135,312.6673
8.7162,-999,31.5333,-999,-999,-999,-999,128.0966,316.5616
8.7151,-999,31.4028,-999,-999,-999,-999,128.2849,318.9104
8.7312,-999,32.0128,-999,-999,-999,-999,128.4885,320.0604
8.7354,-999,32.7136,-999,-999,-999,-999,128.9078,321.2948
8.7314,-999,31.8639,-999,-999,-999,-999,129.5749,323.8406
8.7242,-999,29.1812,-999,-999,-999,-999,130.1919,327.902
8.7273,-999,29.5961,-999,-999,-999,-999,130.3427,331.6738
8.7171,-999,30.3705,-999,-999,-999,-999,129.9409,332.6091
8.7221,-999,28.7767,-999,-999,-999,-999,129.2018,330.1737
8.7352,-999,30.301,-999,-999,-999,-999,128.4908,325.6735
8.719,-999,31.1865,-999,-999,-999,-999,127.8838,321.3347
8.7302,-999,30.8873,-999,-999,-999,-999,127.4241,317.6228
8.7292,-999,30.0276,-999,-999,-999,-999,127.2351,314.8104
8.7405,-999,31.4834,-999,-999,-999,-999,127.1941,313.6495
8.7242,-999,31.651,-999,-999,-999,-999,126.9452,313.4011
8.7362,-999,30.7216,-999,-999,-999,-999,126.4601,311.8821
8.7322,-999,30.5613,-999,-999,-999,-999,126.0282,308.9084
8.7352,-999,31.9822,-999,-999,-999,-999,125.8095,306.2527
8.7433,-999,31.3158,-999,-999,-999,-999,125.5394,304.9123
8.7231,-999,29.189,-999,-999,-999,-999,125.0052,303.2579
8.7362,-999,27.8105,-999,-999,-999,-999,124.4832,299.9717
8.7403,-999,31.1753,-999,-999,-999,-999,124.2863,296.7546
8.7403,-999,34.0049,-999,-999,-999,-999,124.416,295.5292
8.7181,-999,34.4124,-999,-999,-999,-999,124.5855,296.3256
8.7565,-999,33.692,-999,-999,-999,-999,124.6003,297.3763
8.7301,-999,31.9033,-999,-999,-999,-999,124.4659,297.4719
8.7181,-999,32.5605,-999,-999,-999,-999,124.266,296.6471
8.7252,-999,31.6458,-999,-999,-999,-999,124.0992,295.4144
8.7109,-999,32.3186,-999,-999,-999,-999,124.2325,294.3758
8.7352,-999,35.062,-999,-999,-999,-999,124.8715,295.1782
8.723,-999,35.8584,-999,-999,-999,-999,125.8654,299.0938
8.7302,-999,36.0873,-999,-999,-999,-999,126.9199,305.1996
8.7302,-999,36.1891,-999,-999,-999,-999,127.7215,311.6866
8.7393,-999,36.3992,-999,-999,-999,-999,128.153,316.6129
8.7241,-999,34.0844,-999,-999,-999,-999,128.2375,319.2574
8.7443,-999,32.896,-999,-999,-999,-999,128.1476,319.7792
8.7313,-999,34.7234,-999,-999,-999,-999,128.1108,319.2283
8.7314,-999,34.5756,-999,-999,-999,-999,128.2497,318.9989
8.7393,-999,33.2825,-999,-999,-999,-999,128.5948,319.84
8.717,-999,33.3889,-999,-999,-999,-999,129.2167,321.9346
8.7222,-999,33.1939,-999,-999,-999,-999,130.0257,325.7198
8.7414,-999,33.8408,-999,-999,-999,-999,130.6517,330.6525
8.7352,-999,34.9727,-999,-999,-999,-999,130.7243,334.4752
8.7301,-999,36.2983,-999,-999,-999,-999,130.2498,334.9282
8.7361,-999,36.3039,-999,-999,-999,-999,129.4938,332.0519
8.7331,-999,34.359,-999,-999,-999,-999,128.7955,327.4515
8.7473,-999,33.6038,-999,-999,-999,-999,128.2413,323.1935
8.7573,-999,31.2012,-999,-999,-999,-999,127.695,319.8136
8.7523,-999,29.2411,-999,-999,-999,-999,127.2943,316.4755
8.7413,-999,27.1168,-999,-999,-999,-999,127.2564,314.0118
8.7484,-999,25.6776,-999,-999,-999,-999,127.4472,313.7729
8.7323,-999,28.5803,-999,-999,-999,-999,127.7883,314.9363
8.7303,-999,30.7885,-999,-999,-999,-999,128.2976,317.0153
8.7292,-999,32.2814,-999,-999,-999,-999,128.8914,320.1235
8.7292,-999,30.9868,-999,-999,-999,-999,129.1655,323.7556
8.7333,-999,30.7776,-999,-999,-999,-999,128.7685,325.4453
8.7333,-999,30.5751,-999,-999,-999,-999,128.0233,323.0353
8.7182,-999,29.7576,-999,-999,-999,-999,127.3683,318.49
8.7313,-999,30.3939,-999,-999,-999,-999,127.1375,314.4684
8.714,-999,28.8291,-999,-999,-999,-999,127.4141,313.0413
8.7181,-999,29.8036,-999,-999,-999,-999,127.6545,314.738
8.7424,-999,30.4856,-999,-999,-999,-999,127.4315,316.2194
8.7292,-999,28.4171,-999,-999,-999,-999,126.9458,314.8611
8.7292,-999,26.46,-999,-999,-999,-999,127.0518,311.869
8.7292,-999,28.3557,-999,-999,-999,-999,128.4532,312.4756
8.7292,-999,32.4428,-999,-999,-999,-999,130.7415,320.9892
8.7333,-999,33.1829,-999,-999,-999,-999,132.6934,334.9089
8.7181,-999,31.9795,-999,-999,-999,-999,133.4124,346.7977
8.7322,-999,32.8609,-999,-999,-999,-999,132.8145,351.1862
8.7242,-999,37.1135,-999,-999,-999,-999,132.1528,347.5739
8.7294,-999,38.7742,-999,-999,-999,-999,132.6244,343.5522
8.7283,-999,37.703,-999,-999,-999,-999,134.0693,346.3701
8.7284,-999,38.0953,-999,-999,-999,-999,135.3162,355.0873
8.7254,-999,36.3682,-999,-999,-999,-999,135.3149,362.6219
8.7302,-999,36.7319,-999,-999,-999,-999,134.1735,362.6452
8.7343,-999,36.6711,-999,-999,-999,-999,132.9886,355.79
8.7333,-999,35.3904,-999,-999,-999,-999,132.5085,348.6284
8.7334,-999,35.8043,-999,-999,-999,-999,133.0909,345.705
8.7263,-999,34.7369,-999,-999,-999,-999,134.6256,349.1902
8.7333,-999,32.4352,-999,-999,-999,-999,136.3222,358.415
8.7292,-999,31.964,-999,-999,-999,-999,136.9052,368.641
8.7333,-999,32.855,-999,-999,-999,-999,135.907,372.1757
8.7313,-999,33.7362,-999,-999,-999,-999,133.5766,366.2183
8.7373,-999,35.1138,-999,-999,-999,-999,131.1039,352.2081
8.7294,-999,38.1557,-999,-999,-999,-999,129.9995,337.2272
8.7355,-999,38.0725,-999,-999,-999,-999,130.4793,330.4909
8.7292,-999,36.2845,-999,-999,-999,-999,131.7307,333.391
8.7283,-999,35.51,-999,-999,-999,-999,133.2257,340.9708
8.7323,-999,35.51,-999,-999,-999,-999,134.4701,350.0075
8.7373,-999,33.3643,-999,-999,-999,-999,135.5533,357.5145
8.7292,-999,32.4029,-999,-999,-999,-999,136.7433,364.0208
8.7292,-999,32.6414,-999,-999,-999,-999,137.7189,371.1589
8.7302,-999,31.9501,-999,-999,-999,-999,138.1559,376.9997
8.7322,-999,30.0406,-999,-999,-999,-999,137.659,379.6381
8.72,-999,29.6544,-999,-999,-999,-999,136.2105,376.6918
8.7181,-999,29.664,-999,-999,-999,-999,134.4203,368.0187
8.7323,-999,27.9411,-999,-999,-999,-999,132.7434,357.263
8.7302,-999,27.1862,-999,-999,-999,-999,130.4158,347.1742
8.7341,-999,24.0596,-999,-999,-999,-999,126.9418,333.0726
8.7311,-999,24.1469,-999,-999,-999,-999,123.4607,311.8901
8.7363,-999,25.3803,-999,-999,-999,-999,120.2057,290.4989
8.7292,-999,22.7079,-999,-999,-999,-999,116.9912,270.2859
8.7323,-999,21.652,-999,-999,-999,-999,114.2488,250.1133
8.7161,-999,22.5521,-999,-999,-999,-999,112.4858,232.7476
8.7151,-999,21.9678,-999,-999,-999,-999,112.2597,221.4704
8.7333,-999,22.8078,-999,-999,-999,-999,113.6523,219.9592
8.7322,-999,26.8291,-999,-999,-999,-999,116.0247,228.7972
8.72,-999,29.2581,-999,-999,-999,-999,118.6062,243.8356
8.724,-999,29.8735,-999,-999,-999,-999,120.7501,260.1019
8.719,-999,32.1084,-999,-999,-999,-999,122.0328,273.5533
8.7343,-999,34.0632,-999,-999,-999,-999,122.6218,281.5712
8.7231,-999,35.129,-999,-999,-999,-999,122.8542,285.2431
8.7343,-999,36.543,-999,-999,-999,-999,123.1556,286.6793
8.7323,-999,37.0493,-999,-999,-999,-999,123.8088,288.5313
8.7333,-999,36.7737,-999,-999,-999,-999,124.8391,292.5522
8.7282,-999,36.2632,-999,-999,-999,-999,126.2588,298.8819
8.7171,-999,37.009,-999,-999,-999,-999,128.007,307.5906
8.7343,-999,39.7382,-999,-999,-999,-999,129.7854,318.2906
8.7302,-999,36.4599,-999,-999,-999,-999,131.2853,329.147
8.7352,-999,34.1138,-999,-999,-999,-999,132.3978,338.2733
8.7312,-999,36.2391,-999,-999,-999,-999,133.4624,345.0182
8.7111,-999,38.2316,-999,-999,-999,-999,134.6899,351.4392
8.7243,-999,37.8201,-999,-999,-999,-999,135.7087,358.8394
8.7273,-999,40.4532,-999,-999,-999,-999,135.7918,364.991
8.7313,-999,39.2845,-999,-999,-999,-999,134.7583,365.5137
8.7263,-999,36.9731,-999,-999,-999,-999,133.3104,359.319
8.7294,-999,35.6775,-999,-999,-999,-999,132.1605,350.5933
8.7303,-999,35.5484,-999,-999,-999,-999,131.5186,343.629
8.7292,-999,37.8693,-999,-999,-999,-999,131.2202,339.7396
8.7352,-999,38.9797,-999,-999,-999,-999,131.0268,337.9293
8.7312,-999,35.3313,-999,-999,-999,-999,130.7284,336.7595
8.7424,-999,35.3662,-999,-999,-999,-999,130.2371,334.9511
8.7261,-999,38.0573,-999,-999,-999,-999,129.7776,331.9633
8.7252,-999,35.6525,-999,-999,-999,-999,129.6532,329.1651
8.7253,-999,35.3519,-999,-999,-999,-999,129.6564,328.4055
8.7303,-999,37.4949,-999,-999,-999,-999,129.4024,328.4295
8.7302,-999,34.9868,-999,-999,-999,-999,128.9724,326.8865
8.7302,-999,31.1097,-999,-999,-999,-999,128.8708,324.2611
8.7503,-999,31.249,-999,-999,-999,-999,129.1628,323.6315
8.7573,-999,36.0211,-999,-999,-999,-999,129.4554,325.412
8.7654,-999,37.1212,-999,-999,-999,-999,129.4987,327.2025
8.7583,-999,35.3865,-999,-999,-999,-999,129.4802,327.4664
8.7583,-999,35.686,-999,-999,-999,-999,129.477,327.3536
8.7513,-999,36.5217,-999,-999,-999,-999,129.3341,327.3394
8.7715,-999,39.8533,-999,-999,-999,-999,129.1505,326.4698
8.7583,-999,42.3494,-999,-999,-999,-999,129.0336,325.3482
8.7593,-999,39.3854,-999,-999,-999,-999,128.9655,324.6345
8.7593,-999,38.7599,-999,-999,-999,-999,128.8165,324.2221
8.7552,-999,38.1701,-999,-999,-999,-999,128.3933,323.3168
8.7543,-999,38.8016,-999,-999,-999,-999,127.9488,320.731
8.7513,-999,38.8586,-999,-999,-999,-999,128.1196,318.0036
8.7595,-999,40.0744,-999,-999,-999,-999,128.8715,319.0281
8.7473,-999,41.0037,-999,-999,-999,-999,130.0152,323.5985
8.7604,-999,39.7291,-999,-999,-999,-999,131.2554,330.5641
8.7593,-999,38.1927,-999,-999,-999,-999,132.2216,338.1106
8.7573,-999,37.5539,-999,-999,-999,-999,132.5952,343.9744
8.7351,-999,37.8926,-999,-999,-999,-999,132.2109,346.2557
8.7564,-999,37.1272,-999,-999,-999,-999,131.3065,343.9391
8.7533,-999,35.9818,-999,-999,-999,-999,130.2758,338.4608
8.7573,-999,35.2274,-999,-999,-999,-999,129.1342,332.2184
8.7461,-999,35.7434,-999,-999,-999,-999,127.7145,325.2847
8.7593,-999,34.8462,-999,-999,-999,-999,126.3075,316.6204
8.7573,-999,36.4371,-999,-999,-999,-999,125.0773,307.9864
8.7533,-999,38.9208,-999,-999,-999,-999,124.5063,300.407
8.7543,-999,39.3706,-999,-999,-999,-999,124.7589,296.8776
8.7462,-999,38.3296,-999,-999,-999,-999,125.4624,298.4179
8.7461,-999,36.5363,-999,-999,-999,-999,126.3746,302.7427
8.7502,-999,36.8843,-999,-999,-999,-999,127.6806,308.3313
8.7523,-999,37.7226,-999,-999,-999,-999,129.3376,316.3046
8.7544,-999,36.138,-999,-999,-999,-999,130.7007,326.4208
8.7492,-999,33.2111,-999,-999,-999,-999,131.5766,334.7305
8.7442,-999,33.1945,-999,-999,-999,-999,132.2856,340.0618
8.7171,-999,32.1921,-999,-999,-999,-999,132.8232,344.3609
8.7294,-999,30.982,-999,-999,-999,-999,132.3951,347.63
8.7302,-999,33.6682,-999,-999,-999,-999,130.4529,345.0681
8.7373,-999,37.114,-999,-999,-999,-999,128.0732,333.2798
8.7263,-999,36.0172,-999,-999,-999,-999,126.7772,318.7642
8.7564,-999,39.5374,-999,-999,-999,-999,126.8723,310.8329
8.7975,-999,40.5253,-999,-999,-999,-999,127.8943,311.3871
8.8225,-999,37.5641,-999,-999,-999,-999,129.659,317.6097
8.8325,-999,36.2547,-999,-999,-999,-999,132.448,328.3347
9.1165,-999,33.289,-999,-999,-999,-999,136.3456,345.1888
9.3658,-999,32.6672,-999,-999,-999,-999,140.4026,368.6186
9.4039,-999,32.137,-999,-999,-999,-999,143.3167,392.988
9.3717,-999,30.2842,-999,-999,-999,-999,144.8578,410.5328
9.3596,-999,31.7273,-999,-999,-999,-999,144.5711,419.9129
9.61,-999,30.6207,0.8411,13.2325,-999,-999,142.5452,418.2935
11.1117,-999,28.346,1.4123,13.0021,-999,-999,139.1261,406.176
15.5054,-999,27.6988,2.4642,15.5884,-999,-999,134.8429,385.6184
18.9903,-999,27.2552,3.5159,23.2328,-999,-999,130.7478,359.7947
14.6701,-999,29.935,4.5718,78.4944,-999,-999,127.9466,335.0309
11.9581,-999,29.5494,5.3812,250.7087,-999,-999,126.3617,318.0168
11.7757,-999,28.5864,2.9345,129.5861,-999,-999,125.4088,308.3141
13.5522,-999,31.0951,0.6875,10.2779,-999,-999,124.664,302.4601
14.3305,-999,33.9319,0.366,1.5649,-999,-999,124.0659,297.8744
13.9838,-999,34.9837,0.3746,0.4025,-999,-999,123.7335,294.189
15.3062,-999,38.2098,0.4873,0.4527,-999,-999,123.6991,292.1284
14.8623,-999,40.8234,0.6188,0.6676,-999,-999,123.8848,291.9055
15.0667,-999,41.1488,0.6422,2.3029,-999,-999,124.3124,293.0436
13.3694,-999,42.4056,0.5479,6.5808,-999,-999,125.2298,295.6625
12.8232,-999,42.5172,0.6081,8.3422,-999,-999,126.979,301.2729
14.0046,-999,42.0087,0.8051,8.418,-999,-999,129.5629,311.9659
